plz,note,einwohner,qkm,Voltis
15374,15374 Müncheberg,6893,152.5087,0.0
4932,"04932 Röderland, Großthiemig u.a.",9156,122.586016,0.0
3058,03058 Neuhausen/Spree,5228,135.411663,0.0
15913,15913 Straupitz,9845,509.859643,0.0
1945,01945 Ruhland,11001,199.147551,0.0
15748,15748 Märkisch Buchholz,1269,87.36097,0.0
15518,"15518 Briesen, Rauen u.a.",11146,325.790803,0.0
4910,04910 Elsterwerda,8611,41.378492,0.0
14929,14929 Treuenbrietzen,7599,212.742543,1.0
14662,14662 Friesack,4073,170.864652,0.0
15757,15757 Halbe,2213,76.748281,0.0
16792,16792 Zehdenick,13669,223.272568,0.0
1996,01996 Senftenberg,1814,15.393483,0.0
3185,03185 Peitz,9714,203.396228,0.0
3238,03238 Finsterwalde,24729,299.226035,1.0
3130,"03130 Spremberg, Tschernitz u.a.",27681,280.583798,0.0
14774,14774 Brandenburg/ Havel,6621,63.125926,1.0
14806,14806 Belzig,12212,279.126112,0.0
14793,14793 Ziesar,3623,148.031995,0.0
14828,14828 Görzke,1316,75.297773,0.0
16835,16835 Lindow u.a.,5666,150.325398,0.0
15910,15910 Schönwalde,4850,216.478912,0.0
16259,16259 Bad Freienwalde u.a.,20095,413.44305,0.0
15837,15837 Baruth,4237,234.248849,0.0
14789,"14789 Wusterwitz, Rosenau, Bensdorf",5367,107.98375,0.0
16775,"16775 Gransee, Löwenberg",17346,567.727658,0.0
14727,14727 Premnitz,8663,45.986239,0.0
16269,16269 Wriezen,8577,130.197413,0.0
15938,15938 Golßen,4504,165.850951,0.0
4931,"04931 Mühlberg, Bad Liebenwerda",3956,82.476923,0.0
14913,14913 Jüterbog,21726,568.597109,0.0
15868,15868 Lieberose,2090,116.756125,0.0
16230,"16230 Melchow, Chorin u.a.",7137,222.224122,0.0
4924,04924 Bad Liebenwerda,11917,172.353337,0.0
15320,"15320 Neutrebbin, Neuhardenberg",4028,115.348167,0.0
15848,15848 Beeskow,20015,603.542161,0.0
3149,03149 Forst/ Lausitz,22297,186.716049,0.0
16247,16247 Joachimsthal u.a.,5326,210.32279,0.0
15926,"15926 Luckau, Waldrehna, Heideblick, Fürstlich Drehna",13865,375.52945,1.0
16816,16816 Neuruppin,24358,62.33914,0.0
15936,15936 Dahme u.a.,6618,252.273437,0.0
4934,04934 Hohenleipisch,2218,34.408222,0.0
14827,14827 Wiesenburg,4607,220.282372,0.0
14823,14823 Niemegk,3148,145.756301,0.0
14715,"14715 Milower Land, Schollene, Nennhausen u.a.",12409,605.516777,0.0
3197,03197 Jänschwalde,1455,69.972256,0.0
3172,"03172 Guben, Schenkendöbern",22755,271.384222,0.0
4938,04938 Uebigau-Wahrenbrück,2403,41.29189,0.0
3159,03159 Döbern,5360,98.455945,0.0
3246,03246 Crinitz,1395,44.645426,0.0
14712,14712 Rathenow,24526,113.831994,0.0
16818,"16818 Fehrbellin, Temnitzquell, Märkisch Linden u.a.",8234,413.82477,0.0
15306,"15306 Seelow, Lietzen u.a.",11790,270.964585,0.0
14728,14728 Rhinow,2526,104.431961,0.0
16827,16827 Neuruppin,3007,90.783962,0.0
3253,03253 Doberlug-Kirchhain,12064,208.342278,1.0
4936,04936 Schlieben,5430,200.346291,0.0
16798,16798 Fürstenberg,6178,214.35581,0.0
4895,04895 Falkenberg/ Elster,8588,151.013754,0.0
16248,16248 Oderberg u.a.,5814,133.5493,0.0
15299,15299 Müllrose,5896,128.123363,0.0
4916,04916 Herzberg/ Elster,13189,315.014916,0.0
3249,03249 Sonnewalde,3503,120.115964,0.0
15326,"15326 Zeschdorf, Podelzig, Lebus",5469,120.372687,0.0
15898,15898 Neuzelle,6816,184.947988,1.0
15324,15324 Letschin,4352,142.405893,0.0
15890,15890 Eisenhüttenstadt,32479,196.145499,0.0
16831,16831 Rheinsberg,6175,175.176555,0.0
16845,16845 Neustadt (Dosse) u.a.,12736,477.016197,0.0
16868,16868 Wusterhausen,3329,36.173304,0.0
19357,"19357 Karstädt, Dambeck, Klüß",6757,276.975757,0.0
15236,"15236 Treplin, Jacobsdorf, Frankfurt (Oder)",15475,119.245027,1.0
17279,17279 Lychen,3294,111.8899,0.0
17268,"17268 Templin, Boitzenburg u.a.",24667,891.886712,0.0
16278,16278 Angermünde,16795,429.894459,0.0
16837,16837 Rheinsberg,1730,121.496483,0.0
19309,19309 Lenzen,3684,198.626455,0.0
15234,15234 Frankfurt/ Oder,19126,83.40013,0.0
19348,"19348 Perleberg, Berge u.a.",14042,227.320384,0.0
15232,15232 Frankfurt/ Oder,10015,2.245974,0.0
15230,15230 Frankfurt/ Oder,16879,5.378892,0.0
16866,"16866 Gumtow, Kyritz u.a.",13406,410.621586,0.0
16949,"16949 Triglitz, Putlitz",3330,151.621255,0.0
16909,"16909 Wittstock/Dosse, Heiligengrabe",19607,628.243688,0.0
15328,"15328 Golzow, Zechin u.a.",6179,176.082838,0.0
19339,19339 Plattenburg,3643,201.98863,0.0
16945,"16945 Meyenburg, Kümmernitztal u.a.",4020,188.55326,0.0
19322,"19322 Wittenberge, Rühstädt",21671,140.991027,0.0
15295,15295 Brieskow-Finkenheerd,7167,87.698665,0.0
19336,"19336 Legde/Quitzöbel, Bad Wilsnack",3307,121.596803,0.0
16928,"16928 Pritzwalk, Groß Pankow",17030,441.27482,0.0
16303,16303 Schwedt,31833,205.992664,0.0
16306,"16306 Biesendahlshof, Berkholz-Meyenburg",6316,231.489015,0.0
17291,"17291 Prenzlau, Nordwestuckermark u.a.",33481,812.443507,0.0
17337,"17337 Uckerland, Groß Luckow, Schönhausen",3443,195.96791,0.0
17326,17326 Brüssow,2025,102.080202,0.0
16307,16307 Gartz (Oder),3972,128.596007,0.0
